,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,17068248.0,24678329.0,7304104.0,13189256.0,3320584.0,7339320.0,860734.5,-1.78,1.44,40.79,-7610081.0,208.0,263.0,22.0
2017-07-13,9626643.0,6884687.0,3717268.0,1808200.0,1566237.0,377000.0,507538.31,0.54,0.85,41.01,-4868125.0,124.0,99.0,11.0
2017-07-14,6925409.0,7707344.0,3559521.0,3831548.0,1609500.0,2011416.0,441473.31,0.17,0.74,41.08,-5650060.0,78.0,82.0,3.0
2017-07-17,18428229.0,18401894.0,7407994.0,5768511.0,2355000.0,2461827.0,783226.19,-0.05,1.31,41.06,-5623725.0,223.0,252.0,24.0
2017-07-18,11588985.0,19057550.0,3885554.0,9249684.0,822700.0,3415410.0,728729.75,-2.02,1.22,40.23,-13092290.0,163.0,212.0,13.0
2017-07-19,13518557.0,19991475.0,4272041.0,9193970.0,1795429.0,4956427.0,789621.69,-0.6,1.32,39.99,-19565208.0,183.0,228.0,13.0
2017-07-20,27181295.0,14748330.0,13886102.0,4294456.0,6922104.0,1214500.0,913578.81,2.63,1.53,41.04,-7132243.0,287.0,207.0,20.0
2017-07-21,8299090.0,10597402.0,4030978.0,5224143.0,1506620.0,1489900.0,523515.81,-0.8,0.88,40.71,-9430555.0,102.0,128.0,8.0
2017-07-24,18588993.0,13330852.0,9951775.0,3402000.0,5964005.0,1390800.0,754138.88,1.45,1.26,41.3,-4172414.0,188.0,186.0,13.0
2017-07-25,5694708.0,9055289.0,1922597.0,3351941.0,656000.0,1848122.0,466003.62,-0.68,0.78,41.02,-7532995.0,78.0,120.0,7.0
2017-07-26,10725006.0,17413357.0,3923184.0,9463337.0,1729300.0,5366812.0,694889.25,-2.49,1.16,40.0,-14221346.0,135.0,183.0,13.0
2017-07-27,22605275.0,22142424.0,10974928.0,11120152.0,5971108.0,4363509.0,919579.62,-2.75,1.54,38.9,-13758495.0,242.0,248.0,29.0
2017-07-28,11886695.0,10236188.0,4994256.0,2994641.0,1922096.0,1207258.0,567512.62,1.72,0.95,39.57,-12107988.0,145.0,137.0,3.0
2017-07-31,8685770.0,10942969.0,4374629.0,5511035.0,1393228.0,2580551.0,527418.75,-0.83,0.88,39.24,-14365187.0,100.0,128.0,11.0
2017-08-01,9760910.0,11174792.0,4418002.0,4466459.0,2107867.0,1321456.0,567478.38,0.05,0.95,39.26,-15779069.0,118.0,142.0,8.0
